date,revision,mean_additional,mean_total,n_products,n_countries,weighted_etr,weighted_etr_additional,matched_imports_b,total_imports_b
2025-06-05,rev_15,0.13378234425101368,0.1449163490975446,19733,240,0.15774716457101398,0.15554433225679667,2718.124887567,3123.773412637
2025-06-06,rev_16,0.13378956901280367,0.14492961500850918,19769,240,0.15551968110092715,0.15331733146927462,2692.368460194,3123.773412637
2025-06-07,rev_16,0.13378956901280367,0.14492961500850918,19769,240,0.15551968110092715,0.15331733146927462,2692.368460194,3123.773412637
2025-06-08,rev_16,0.13378956901280367,0.14492961500850918,19769,240,0.15551968110092715,0.15331733146927462,2692.368460194,3123.773412637
2025-06-09,rev_16,0.13378956901280367,0.14492961500850918,19769,240,0.15551968110092715,0.15331733146927462,2692.368460194,3123.773412637
2025-06-10,rev_16,0.13378956901280367,0.14492961500850918,19769,240,0.15551968110092715,0.15331733146927462,2692.368460194,3123.773412637
2025-06-11,rev_16,0.13378956901280367,0.14492961500850918,19769,240,0.15551968110092715,0.15331733146927462,2692.368460194,3123.773412637
2025-06-12,rev_16,0.13378956901280367,0.14492961500850918,19769,240,0.15551968110092715,0.15331733146927462,2692.368460194,3123.773412637
2025-06-13,rev_16,0.13378956901280367,0.14492961500850918,19769,240,0.15551968110092715,0.15331733146927462,2692.368460194,3123.773412637
2025-06-14,rev_16,0.13378956901280367,0.14492961500850918,19769,240,0.15551968110092715,0.15331733146927462,2692.368460194,3123.773412637
2025-06-15,rev_16,0.13378956901280367,0.14492961500850918,19769,240,0.15551968110092715,0.15331733146927462,2692.368460194,3123.773412637
2025-06-16,rev_16,0.13378956901280367,0.14492961500850918,19769,240,0.15551968110092715,0.15331733146927462,2692.368460194,3123.773412637
2025-06-17,rev_16,0.13378956901280367,0.14492961500850918,19769,240,0.15551968110092715,0.15331733146927462,2692.368460194,3123.773412637
2025-06-18,rev_16,0.13378956901280367,0.14492961500850918,19769,240,0.15551968110092715,0.15331733146927462,2692.368460194,3123.773412637
