hts10,cty_code,usmca_share
0302895077,2010,0
0302912000,1220,0
0302912000,2010,0
0302914010,1220,0
0302914010,2010,0
0302914090,1220,0
0302914090,2010,0
0302920000,1220,0
0302920000,2010,0
0302990000,1220,0
0302990000,2010,0
0303110000,1220,0
0303110000,2010,0
0303120012,1220,0
0303120012,2010,0
0303120022,1220,0
0303120022,2010,0
0303120032,1220,0
0303120032,2010,0
0303120052,1220,0
0303120052,2010,0
0303120062,1220,0
0303120062,2010,0
0303130000,1220,0
0303130000,2010,0
0303140000,1220,0
0303140000,2010,0
0303190100,1220,0
0303190100,2010,0
0303230000,1220,0
0303230000,2010,0
0303240010,1220,0
0303240010,2010,0
0303240020,1220,0
0303240020,2010,0
0303240050,1220,0
0303240050,2010,0
0303250100,1220,0
0303250100,2010,0
0303260000,1220,0
0303260000,2010,0
0303290110,1220,0
0303290110,2010,0
0303290150,1220,0
0303290150,2010,0
0303310010,1220,0
0303310010,2010,0
0303310020,1220,0
0303310020,2010,0
0303310030,1220,0
0303310030,2010,0
0303320000,1220,0
0303320000,2010,0
0303330000,1220,0.8806502757
0303330000,2010,0
0303340000,1220,1
0303340000,2010,0
0303390110,1220,1
0303390110,2010,0
0303390120,1220,0
0303390120,2010,0
0303390130,1220,0
0303390130,2010,0
0303390195,1220,1
0303390195,2010,0
0303410000,1220,0
0303410000,2010,0
0303420020,1220,0
0303420020,2010,0
0303420040,1220,0
0303420040,2010,0
0303420060,1220,0
0303420060,2010,0
0303430000,1220,0
0303430000,2010,0
0303440000,1220,0
0303440000,2010,0
0303450110,1220,0
0303450110,2010,0
0303450150,1220,0
0303450150,2010,0
0303460000,1220,0
0303460000,2010,0
0303490200,1220,0
0303490200,2010,0
0303510000,1220,0
0303510000,2010,0
0303530000,1220,0
0303530000,2010,1
0303540000,1220,0
0303540000,2010,0
0303550000,1220,0
0303550000,2010,0
0303560000,1220,0
0303560000,2010,0
0303570010,1220,0
0303570010,2010,0
0303570090,1220,0
0303570090,2010,0
0303590000,1220,0
0303590000,2010,0
0303630010,1220,0
0303630010,2010,0
0303630090,1220,0
0303630090,2010,0
0303640000,1220,0
0303640000,2010,0
0303650000,1220,0
0303650000,2010,0
0303660000,1220,0
0303660000,2010,0
0303670000,1220,0
0303670000,2010,0
0303680000,1220,0
0303680000,2010,0
0303690000,1220,0
0303690000,2010,0
0303740000,1220,0
0303740000,2010,0
0303810011,1220,0
0303810011,2010,0
0303810091,1220,0
0303810091,2010,1
0303820000,1220,0
0303820000,2010,0
0303830000,1220,0
0303830000,2010,0
0303840000,1220,0
0303840000,2010,0
0303890001,1220,0
0303890001,2010,0
0303890004,1220,0
0303890004,2010,0
0303890010,1220,0
0303890010,2010,0
0303890013,1220,0
0303890013,2010,0
0303890028,1220,0
0303890028,2010,0
0303890031,1220,0
0303890031,2010,0
0303890034,1220,0
0303890034,2010,0
0303890037,1220,0
0303890037,2010,0
0303890040,1220,0
0303890040,2010,0
0303890043,1220,0
0303890043,2010,0
0303890046,1220,0
0303890046,2010,0
0303890049,1220,0
0303890049,2010,0
0303890052,1220,0
0303890052,2010,0
0303890055,1220,0
0303890055,2010,0
0303890058,1220,0
0303890058,2010,0
0303890061,1220,0
0303890061,2010,0
0303890064,1220,0
0303890064,2010,0
0303890067,1220,0
0303890067,2010,0
0303890070,1220,0
0303890070,2010,0
0303890080,1220,0
0303890080,2010,0
0303912000,1220,1
0303912000,2010,0
0303914020,1220,0
0303914020,2010,0
0303914040,1220,0
0303914040,2010,0
0303914050,1220,0
0303914050,2010,0
0303914060,1220,0
0303914060,2010,0
0303914095,1220,0
0303914095,2010,0
0303920000,1220,0
0303920000,2010,0
0303990000,1220,0
0303990000,2010,0
0304310000,1220,0
0304310000,2010,0
0304320010,1220,0
0304320010,2010,0
0304320020,1220,0
0304320020,2010,0
0304320090,1220,0
0304320090,2010,0
0304330000,1220,0
0304330000,2010,0
0304390000,1220,0
0304390000,2010,0
0304410010,1220,0
0304410010,2010,0
0304410020,1220,0
0304410020,2010,0
0304410090,1220,0
0304410090,2010,0
0304420000,1220,0
0304420000,2010,0
0304430010,1220,0
0304430010,2010,0
0304430015,1220,0
0304430015,2010,0
0304430020,1220,0
0304430020,2010,0
0304430025,1220,0
0304430025,2010,0
0304430090,1220,0
0304430090,2010,0
0304440010,1220,0
0304440010,2010,0
0304440015,1220,0
0304440015,2010,0
0304440020,1220,0
0304440020,2010,0
0304440025,1220,0
0304440025,2010,0
0304440030,1220,0
0304440030,2010,0
0304440090,1220,0
0304440090,2010,0
0304450000,1220,0
0304450000,2010,0
0304460000,1220,0
0304460000,2010,0
0304470000,1220,0
0304470000,2010,0
0304480000,1220,0
0304480000,2010,0
0304490103,1220,0
0304490103,2010,0
0304490106,1220,0
0304490106,2010,0
0304490109,1220,0
0304490109,2010,0
0304490112,1220,0
0304490112,2010,0
0304490115,1220,0
0304490115,2010,0
0304490120,1220,0
0304490120,2010,0
0304490125,1220,0
0304490125,2010,0
0304490190,1220,0
0304490190,2010,0
0304510110,1220,0
0304510110,2010,0
0304510115,1220,0
0304510115,2010,0
0304510120,1220,0
0304510120,2010,0
0304510125,1220,0
0304510125,2010,0
0304510190,1220,0
0304510190,2010,0
0304520010,1220,0
0304520010,2010,0
0304520015,1220,0
0304520015,2010,0
0304520020,1220,0
0304520020,2010,0
0304520090,1220,0
0304520090,2010,0
0304530010,1220,0
0304530010,2010,0
0304530015,1220,0
0304530015,2010,0
0304530020,1220,0
0304530020,2010,0
0304530025,1220,0
0304530025,2010,0
0304530030,1220,0
0304530030,2010,0
0304530090,1220,0
0304530090,2010,0
0304540000,1220,0
0304540000,2010,0
0304550000,1220,0
0304550000,2010,0
0304560000,1220,0
0304560000,2010,0
0304570000,1220,0
0304570000,2010,0
0304590003,1220,0
0304590003,2010,0
0304590006,1220,0
0304590006,2010,0
0304590009,1220,0
0304590009,2010,0
0304590015,1220,0
0304590015,2010,0
0304590020,1220,0
0304590020,2010,0
0304590025,1220,0
0304590025,2010,0
0304590030,1220,0
0304590030,2010,0
0304590036,1220,0
0304590036,2010,0
0304590040,1220,0
0304590040,2010,0
0304590045,1220,0
0304590045,2010,0
0304590050,1220,0
0304590050,2010,0
0304590055,1220,0
0304590055,2010,0
0304590061,1220,0
0304590061,2010,0
0304590065,1220,0
0304590065,2010,0
0304590070,1220,0
0304590070,2010,0
0304590091,1220,0
0304590091,2010,0
0304610000,1220,0
0304610000,2010,0
0304620010,1220,0
0304620010,2010,0
0304620020,1220,0
0304620020,2010,0
0304620030,1220,0
0304620030,2010,0
0304620090,1220,0
0304620090,2010,0
0304630000,1220,0
0304630000,2010,0
0304690000,1220,0
0304690000,2010,0
0304711000,1220,0
0304711000,2010,0
0304715000,1220,0
0304715000,2010,0
0304721000,1220,0
0304721000,2010,0
0304725000,1220,0
0304725000,2010,0
0304731000,1220,0
0304731000,2010,0
0304735000,1220,0
0304735000,2010,0
0304741000,1220,0
0304741000,2010,0
0304745000,1220,0
0304745000,2010,0
0304751000,1220,0
0304751000,2010,0
0304755000,1220,0
0304755000,2010,0
0304791010,1220,0
0304791010,2010,0
0304791015,1220,0
0304791015,2010,0
0304791090,1220,0
0304791090,2010,0
0304795000,1220,0
0304795000,2010,0
0304811000,1220,0
0304811000,2010,0
0304815010,1220,0
0304815010,2010,0
0304815090,1220,0
0304815090,2010,0
0304821000,1220,0
0304821000,2010,0
0304825000,1220,0
0304825000,2010,0
0304831010,1220,0
0304831010,2010,0
0304831015,1220,0
0304831015,2010,0
0304831020,1220,0
0304831020,2010,0
0304831025,1220,0
0304831025,2010,0
0304831030,1220,0
0304831030,2010,0
0304831090,1220,0
0304831090,2010,0
0304835010,1220,0
0304835010,2010,0
0304835015,1220,0
0304835015,2010,0
0304835020,1220,0
0304835020,2010,0
0304835025,1220,0
0304835025,2010,0
0304835030,1220,0
0304835030,2010,0
0304835090,1220,0
0304835090,2010,0
0304840000,1220,0
0304840000,2010,0
0304850000,1220,0
0304850000,2010,0
0304860000,1220,0
0304860000,2010,0
0304870000,1220,0
0304870000,2010,0
0304880000,1220,0
0304880000,2010,0
0304891010,1220,0
0304891010,2010,0
0304891015,1220,0
0304891015,2010,0
0304891020,1220,0
0304891020,2010,0
0304891025,1220,0
0304891025,2010,0
0304891030,1220,0
0304891030,2010,0
0304891035,1220,0
0304891035,2010,0
0304891090,1220,0
0304891090,2010,0
0304895003,1220,0
0304895003,2010,0
0304895006,1220,0
0304895006,2010,0
0304895009,1220,0
0304895009,2010,0
0304895015,1220,0
0304895015,2010,0
0304895020,1220,0
0304895020,2010,0
0304895025,1220,0
0304895025,2010,0
0304895030,1220,0
0304895030,2010,0
0304895035,1220,0
0304895035,2010,0
0304895040,1220,0
0304895040,2010,0
0304895045,1220,0
0304895045,2010,0
0304895050,1220,0
0304895050,2010,0
0304895055,1220,0
0304895055,2010,0
0304895060,1220,0
0304895060,2010,0
0304895091,1220,0
0304895091,2010,0
0304911000,1220,0
0304911000,2010,0
0304919000,1220,0
0304919000,2010,0
0304921000,1220,0
0304921000,2010,0
0304929000,1220,0
0304929000,2010,0
0304931005,1220,0
0304931005,2010,0
0304931010,1220,0
0304931010,2010,0
0304931090,1220,0
0304931090,2010,0
0304939000,1220,0
0304939000,2010,0
0304941005,1220,0
0304941005,2010,0
0304941010,1220,0
0304941010,2010,0
0304941090,1220,0
0304941090,2010,0
0304949000,1220,0
0304949000,2010,0
0304951005,1220,0
0304951005,2010,0
0304951010,1220,0
0304951010,2010,0
0304951015,1220,0
0304951015,2010,0
0304951020,1220,0
0304951020,2010,0
0304951025,1220,0
0304951025,2010,0
0304951030,1220,0
0304951030,2010,0
0304951090,1220,0
0304951090,2010,0
0304959000,1220,1
0304959000,2010,0
0304960000,1220,0
0304960000,2010,1
0304970000,1220,0
0304970000,2010,0
0304991104,1220,0
0304991104,2010,0
0304991109,1220,0
0304991109,2010,0
0304991150,1220,0
0304991150,2010,0
0304991160,1220,0
0304991160,2010,0
0304991170,1220,0
0304991170,2010,0
0304991182,1220,0
0304991182,2010,0
0304991183,1220,0
0304991183,2010,0
0304991184,1220,0
0304991184,2010,0
0304991190,1220,0
0304991190,2010,0
0304991194,1220,0
0304991194,2010,0
0304999190,1220,1
0304999190,2010,1
0304999192,1220,1
0304999192,2010,1
0305202000,1220,0
0305202000,2010,0
0305204020,1220,0
0305204020,2010,0
0305204040,1220,0
0305204040,2010,0
0305204065,1220,0
0305204065,2010,0
0305310100,1220,0
0305310100,2010,0
0305320010,1220,0
0305320010,2010,0
0305320090,1220,0
0305320090,2010,0
0305392000,1220,0
0305392000,2010,0
0305394000,1220,0
0305394000,2010,0
0305396110,1220,0
0305396110,2010,0
0305396180,1220,0
0305396180,2010,0
0305410000,1220,0.9989897056
0305410000,2010,1
0305420020,1220,0
0305420020,2010,0
0305420050,1220,0
0305420050,2010,0
0305420060,1220,0
0305420060,2010,0
0305430000,1220,0
0305430000,2010,0
0305440100,1220,0
0305440100,2010,0
0305492000,1220,0
0305492000,2010,0
0305494020,1220,0
0305494020,2010,0
0305494045,1220,0
0305494045,2010,0
0305510000,1220,0
0305510000,2010,0
0305520000,1220,0
0305520000,2010,0
0305530000,1220,0
0305530000,2010,0
0305540000,1220,0
0305540000,2010,0
0305590001,1220,0
0305590001,2010,0
0305612000,1220,0.9447612504
0305612000,2010,0
0305614000,1220,0
0305614000,2010,0
0305620010,1220,0
0305620010,2010,0
0305620025,1220,0
0305620025,2010,0
0305620030,1220,0
0305620030,2010,0
0305620045,1220,0
0305620045,2010,0
0305620050,1220,0
0305620050,2010,0
0305620060,1220,0
0305620060,2010,0
0305620070,1220,0
0305620070,2010,0
0305620080,1220,0
0305620080,2010,0
0305632000,1220,0
0305632000,2010,0
0305634000,1220,0
0305634000,2010,0
0305636000,1220,0
0305636000,2010,0
0305641000,1220,0
0305641000,2010,0
0305645000,1220,0
0305645000,2010,0
0305691021,1220,0
0305691021,2010,0
0305691022,1220,0
0305691022,2010,0
0305691029,1220,0
0305691029,2010,0
0305691041,1220,0
0305691041,2010,0
0305691042,1220,0
0305691042,2010,0
0305691049,1220,0
0305691049,2010,0
0305692000,1220,0.9864739248
0305692000,2010,0
0305693000,1220,0
0305693000,2010,0
0305694000,1220,0
0305694000,2010,0
0305695001,1220,0
0305695001,2010,0
0305696001,1220,0
0305696001,2010,0
0305710000,1220,0
0305710000,2010,0
0305720000,1220,0
0305720000,2010,0
0305790000,1220,0
0305790000,2010,0
0306110010,1220,0
0306110010,2010,0
0306110020,1220,0
0306110020,2010,0
0306120010,1220,0
0306120010,2010,0
0306120030,1220,0
0306120030,2010,0
0306120050,1220,0
0306120050,2010,0
0306120070,1220,0
0306120070,2010,0
0306142000,1220,1
0306142000,2010,1
0306144003,1220,0
0306144003,2010,0
0306144006,1220,0
0306144006,2010,0
0306144009,1220,0
0306144009,2010,0
0306144012,1220,0
0306144012,2010,0
0306144015,1220,0
0306144015,2010,0
0306144020,1220,0
0306144020,2010,0
0306144030,1220,0
0306144030,2010,0
0306144090,1220,0
0306144090,2010,0
0306150000,1220,0
0306150000,2010,0
0306160003,1220,0
0306160003,2010,0
0306160006,1220,0
0306160006,2010,0
0306160009,1220,0
0306160009,2010,0
0306160012,1220,0
0306160012,2010,0
0306160015,1220,0
0306160015,2010,0
0306160018,1220,0
0306160018,2010,0
0306160021,1220,0
0306160021,2010,0
0306160024,1220,0
0306160024,2010,0
0306160027,1220,0
0306160027,2010,0
0306160040,1220,0
0306160040,2010,0
0306170004,1220,0
0306170004,2010,0
0306170005,1220,0
0306170005,2010,0
0306170007,1220,0
