hts8,list,ch99_code
04069057,4A,9903.88.15
04069059,4A,9903.88.15
04069061,4A,9903.88.15
04069063,4A,9903.88.15
04069066,4A,9903.88.15
04069068,4A,9903.88.15
04069072,4A,9903.88.15
04069074,4A,9903.88.15
04069076,4A,9903.88.15
04069078,4A,9903.88.15
04069082,4A,9903.88.15
04069084,4A,9903.88.15
04069086,4A,9903.88.15
04069088,4A,9903.88.15
04069090,4A,9903.88.15
04069092,4A,9903.88.15
04069093,4A,9903.88.15
04069094,4A,9903.88.15
04069095,4A,9903.88.15
04069097,4A,9903.88.15
04069099,4A,9903.88.15
04071100,4A,9903.88.15
04071900,3,9903.88.03
04072100,3,9903.88.03
04072900,3,9903.88.03
04079000,3,9903.88.03
04081100,3,9903.88.03
04081900,3,9903.88.03
04089100,4A,9903.88.15
04089900,3,9903.88.03
04090000,3,9903.88.03
04101000,3,9903.88.03
04109000,3,9903.88.03
05010000,4A,9903.88.15
05029000,4A,9903.88.15
05040000,4A,9903.88.15
05051000,4A,9903.88.15
05059020,3,9903.88.03
05059060,3,9903.88.03
05061000,3,9903.88.03
05069000,3,9903.88.03
05071000,4A,9903.88.15
05079000,3,9903.88.03
05080000,3,9903.88.03
05100020,4A,9903.88.15
05100040,3,9903.88.03
05111000,3,9903.88.03
05119100,3,9903.88.03
05119920,3,9903.88.03
05119930,3,9903.88.03
05119933,3,9903.88.03
05119936,3,9903.88.03
05119940,3,9903.88.03
06011015,4A,9903.88.15
06011030,4A,9903.88.15
06011045,4A,9903.88.15
06011060,4A,9903.88.15
06011075,4A,9903.88.15
06011085,4A,9903.88.15
06011090,4A,9903.88.15
06012010,4A,9903.88.15
06012090,4A,9903.88.15
06021000,4A,9903.88.15
06022000,4A,9903.88.15
06023000,4A,9903.88.15
06024000,4A,9903.88.15
06029020,4A,9903.88.15
06029030,4A,9903.88.15
06029040,4A,9903.88.15
06029060,4A,9903.88.15
06029090,4A,9903.88.15
06031100,4A,9903.88.15
06031230,4A,9903.88.15
06031270,4A,9903.88.15
06031300,4A,9903.88.15
06031400,4A,9903.88.15
06031500,4A,9903.88.15
06031901,4A,9903.88.15
06039000,4A,9903.88.15
06042000,4A,9903.88.15
06049010,4A,9903.88.15
06049030,4A,9903.88.15
06049060,4A,9903.88.15
07011000,4A,9903.88.15
07019010,4A,9903.88.15
07019050,4A,9903.88.15
07020020,4A,9903.88.15
07020040,4A,9903.88.15
07020060,4A,9903.88.15
07031020,3,9903.88.03
07031030,3,9903.88.03
07031040,3,9903.88.03
