hts8,category,country_group,ch99_code
29337908,pharma,eu,9903.02.77
29337915,pharma,eu,9903.02.77
29337920,pharma,eu,9903.02.77
29337930,pharma,eu,9903.02.77
29337940,pharma,eu,9903.02.77
29337985,pharma,eu,9903.02.77
29339100,pharma,eu,9903.02.77
29339901,pharma,eu,9903.02.77
29339902,pharma,eu,9903.02.77
29339905,pharma,eu,9903.02.77
29339906,pharma,eu,9903.02.77
29339908,pharma,eu,9903.02.77
29339911,pharma,eu,9903.02.77
29339912,pharma,eu,9903.02.77
29339914,pharma,eu,9903.02.77
29339916,pharma,eu,9903.02.77
29339917,pharma,eu,9903.02.77
29339922,pharma,eu,9903.02.77
29339924,pharma,eu,9903.02.77
29339926,pharma,eu,9903.02.77
29339942,pharma,eu,9903.02.77
29339946,pharma,eu,9903.02.77
29339951,pharma,eu,9903.02.77
29339953,pharma,eu,9903.02.77
29339955,pharma,eu,9903.02.77
29339958,pharma,eu,9903.02.77
29339961,pharma,eu,9903.02.77
29339965,pharma,eu,9903.02.77
29339970,pharma,eu,9903.02.77
29339975,pharma,eu,9903.02.77
29339979,pharma,eu,9903.02.77
29339982,pharma,eu,9903.02.77
29339985,pharma,eu,9903.02.77
29339989,pharma,eu,9903.02.77
29339990,pharma,eu,9903.02.77
29339997,pharma,eu,9903.02.77
29341010,pharma,eu,9903.02.77
29341020,pharma,eu,9903.02.77
29341070,pharma,eu,9903.02.77
29341090,pharma,eu,9903.02.77
29342040,pharma,eu,9903.02.77
29342080,pharma,eu,9903.02.77
29343018,pharma,eu,9903.02.77
29343023,pharma,eu,9903.02.77
29343027,pharma,eu,9903.02.77
29343043,pharma,eu,9903.02.77
29343050,pharma,eu,9903.02.77
29349100,pharma,eu,9903.02.77
29349200,pharma,eu,9903.02.77
29349901,pharma,eu,9903.02.77
29349903,pharma,eu,9903.02.77
29349905,pharma,eu,9903.02.77
29349906,pharma,eu,9903.02.77
29349907,pharma,eu,9903.02.77
29349908,pharma,eu,9903.02.77
29349909,pharma,eu,9903.02.77
29349911,pharma,eu,9903.02.77
29349912,pharma,eu,9903.02.77
29349915,pharma,eu,9903.02.77
29349916,pharma,eu,9903.02.77
29349918,pharma,eu,9903.02.77
29349920,pharma,eu,9903.02.77
29349930,pharma,eu,9903.02.77
29349939,pharma,eu,9903.02.77
29349944,pharma,eu,9903.02.77
29349947,pharma,eu,9903.02.77
29349970,pharma,eu,9903.02.77
29349990,pharma,eu,9903.02.77
29359006,pharma,eu,9903.02.77
29359029,pharma,eu,9903.02.77
29359030,pharma,eu,9903.02.77
29359032,pharma,eu,9903.02.77
29359033,pharma,eu,9903.02.77
29359042,pharma,eu,9903.02.77
29359048,pharma,eu,9903.02.77
29359060,pharma,eu,9903.02.77
29359075,pharma,eu,9903.02.77
29359095,pharma,eu,9903.02.77
29362100,pharma,eu,9903.02.77
29362200,pharma,eu,9903.02.77
29362300,pharma,eu,9903.02.77
29362401,pharma,eu,9903.02.77
29362500,pharma,eu,9903.02.77
29362600,pharma,eu,9903.02.77
29362700,pharma,eu,9903.02.77
29362800,pharma,eu,9903.02.77
29362910,pharma,eu,9903.02.77
29362916,pharma,eu,9903.02.77
29362920,pharma,eu,9903.02.77
29362950,pharma,eu,9903.02.77
29369001,pharma,eu,9903.02.77
29371100,pharma,eu,9903.02.77
29371200,pharma,eu,9903.02.77
29371900,pharma,eu,9903.02.77
29372100,pharma,eu,9903.02.77
29372200,pharma,eu,9903.02.77
29372310,pharma,eu,9903.02.77
29372325,pharma,eu,9903.02.77
29372350,pharma,eu,9903.02.77
29372910,pharma,eu,9903.02.77
29372990,pharma,eu,9903.02.77
29375000,pharma,eu,9903.02.77
29379005,pharma,eu,9903.02.77
29379010,pharma,eu,9903.02.77
29379020,pharma,eu,9903.02.77
29379040,pharma,eu,9903.02.77
29379045,pharma,eu,9903.02.77
29379090,pharma,eu,9903.02.77
29381000,pharma,eu,9903.02.77
29389000,pharma,eu,9903.02.77
29391100,pharma,eu,9903.02.77
29391910,pharma,eu,9903.02.77
29391920,pharma,eu,9903.02.77
29391950,pharma,eu,9903.02.77
29392000,pharma,eu,9903.02.77
29393000,pharma,eu,9903.02.77
29394100,pharma,eu,9903.02.77
29394200,pharma,eu,9903.02.77
29394300,pharma,eu,9903.02.77
29394400,pharma,eu,9903.02.77
29394500,pharma,eu,9903.02.77
29394903,pharma,eu,9903.02.77
29395100,pharma,eu,9903.02.77
29395900,pharma,eu,9903.02.77
29396100,pharma,eu,9903.02.77
29396200,pharma,eu,9903.02.77
29396300,pharma,eu,9903.02.77
29396900,pharma,eu,9903.02.77
29397200,pharma,eu,9903.02.77
29397900,pharma,eu,9903.02.77
29398000,pharma,eu,9903.02.77
29400060,pharma,eu,9903.02.77
29411010,pharma,eu,9903.02.77
29411020,pharma,eu,9903.02.77
29411030,pharma,eu,9903.02.77
29411050,pharma,eu,9903.02.77
29412050,pharma,eu,9903.02.77
29413000,pharma,eu,9903.02.77
29414000,pharma,eu,9903.02.77
